frame, ROI found, ROI location, ROI size 
699,1,517_128 ,238_238 
700,1,503_119 ,246_246 
701,1,489_116 ,254_254 
702,1,475_108 ,260_260 
703,1,466_103 ,267_267 
704,1,456_99 ,255_255 
705,1,447_92 ,265_265 
706,1,435_88 ,272_272 
707,1,431_84 ,279_279 
708,1,434_89 ,272_272 
709,1,428_81 ,288_288 
710,1,437_90 ,279_279 
711,1,439_89 ,279_279 
712,1,447_91 ,276_276 
713,1,454_93 ,277_277 
714,1,473_98 ,267_267 
715,1,475_93 ,276_276 
716,1,497_103 ,263_263 
717,1,520_109 ,249_249 
718,1,536_110 ,250_250 
719,1,550_115 ,249_249 
720,1,562_114 ,252_252 
721,1,582_118 ,250_250 
722,1,595_113 ,255_255 
723,1,618_115 ,248_248 
724,1,625_115 ,252_252 
725,1,628_115 ,260_260 
726,1,634_113 ,263_263 
727,1,634_112 ,264_264 
728,1,631_111 ,267_267 
729,1,622_109 ,266_266 
730,1,613_108 ,263_263 
731,1,600_112 ,255_255 
732,1,580_111 ,253_253 
733,1,519_90 ,303_303 
734,1,509_109 ,263_263 
735,1,489_119 ,238_238 
736,1,413_97 ,293_293 
737,1,394_119 ,255_255 
738,1,332_104 ,288_288 
739,1,315_118 ,258_258 
740,1,248_111 ,301_301 
741,1,232_126 ,276_276 
742,1,176_123 ,304_304 
743,1,164_136 ,293_293 
744,1,122_129 ,315_315 
745,1,112_139 ,306_306 
746,1,90_139 ,319_319 
747,1,78_148 ,303_303 
748,1,69_148 ,315_315 
749,0,
750,1,82_145 ,310_310 
751,1,93_156 ,302_302 
752,1,125_147 ,293_293 
753,1,148_150 ,279_279 
754,1,169_125 ,312_312 
755,1,204_135 ,285_285 
756,1,249_140 ,253_253 
757,1,270_116 ,300_300 
758,1,317_134 ,263_263 
759,1,354_137 ,245_245 
760,1,376_114 ,286_286 
761,1,402_119 ,275_275 
762,1,452_132 ,240_240 
763,1,460_111 ,289_289 
764,1,496_122 ,263_263 
765,1,525_129 ,249_249 
766,1,552_131 ,241_241 
767,1,573_131 ,238_238 
768,1,573_108 ,302_302 
769,1,601_119 ,277_277 
770,1,618_122 ,272_272 
771,1,631_124 ,272_272 
772,1,644_125 ,270_270 
773,1,655_127 ,268_268 
774,1,660_123 ,265_265 
775,1,658_125 ,265_265 
776,1,659_129 ,264_264 
777,1,655_127 ,268_268 
778,1,649_135 ,266_266 
779,1,643_136 ,263_263 
780,1,635_140 ,260_260 
781,1,629_147 ,257_257 
782,1,625_149 ,252_252 
783,1,618_151 ,252_252 
784,1,614_157 ,244_244 
785,1,613_164 ,235_235 
786,1,607_170 ,235_235 
787,1,608_182 ,226_226 
788,1,604_191 ,221_221 
789,1,604_200 ,217_217 
790,1,604_208 ,211_211 
791,1,602_220 ,205_205 
792,1,598_223 ,206_206 
793,1,593_223 ,210_210 
794,1,592_227 ,202_202 
795,1,584_226 ,208_208 
796,1,582_221 ,204_204 
797,1,575_217 ,209_209 
798,1,567_214 ,208_208 
799,1,561_209 ,209_209 
800,1,552_203 ,213_213 
801,1,544_198 ,217_217 
802,1,535_190 ,220_220 
803,1,522_181 ,229_229 
804,1,511_172 ,233_233 
805,1,499_162 ,239_239 
806,1,486_155 ,246_246 
807,1,473_148 ,251_251 
808,1,461_139 ,259_259 
809,1,450_136 ,261_261 
810,1,438_132 ,265_265 
811,1,424_124 ,275_275 
812,1,412_122 ,281_281 
813,1,407_116 ,287_287 
814,1,400_111 ,289_289 
815,1,394_107 ,302_302 
816,1,388_105 ,303_303 
817,1,387_107 ,301_301 
818,1,386_103 ,305_305 
819,1,393_109 ,301_301 
820,1,399_107 ,303_303 
821,1,403_107 ,301_301 
822,1,406_108 ,304_304 
823,1,425_119 ,286_286 
824,1,441_127 ,274_274 
825,1,452_134 ,268_268 
826,1,467_142 ,261_261 
827,1,482_152 ,251_251 
828,1,493_161 ,243_243 
829,1,510_175 ,231_231 
830,1,516_182 ,231_231 
831,1,524_193 ,225_225 
832,1,534_203 ,222_222 
833,1,540_209 ,223_223 
834,1,544_211 ,227_227 
835,1,546_216 ,225_225 
836,1,551_221 ,220_220 
837,1,553_223 ,216_216 
838,1,556_222 ,214_214 
839,1,554_221 ,214_214 
840,1,552_219 ,215_215 
841,1,549_217 ,217_217 
842,1,550_215 ,216_216 
843,1,553_215 ,213_213 
844,1,552_215 ,216_216 
845,1,556_216 ,213_213 
846,1,561_216 ,213_213 
847,1,564_215 ,216_216 
848,1,569_213 ,217_217 
849,1,573_211 ,222_222 
850,1,582_212 ,226_226 
851,1,589_212 ,231_231 
852,1,603_212 ,223_223 
853,1,628_215 ,213_213 
854,1,643_217 ,215_215 
855,1,655_209 ,220_220 
856,1,688_214 ,207_208 
857,1,702_216 ,208_208 
858,2,1113_543 697_193 ,83_83 274_274 
859,1,726_208 ,249_249 
860,1,743_214 ,244_244 
861,1,763_219 ,237_237 
862,1,771_217 ,240_240 
863,1,778_217 ,239_239 
864,1,782_217 ,238_238 
865,1,778_213 ,245_245 
866,1,774_214 ,245_245 
867,1,766_214 ,240_240 
868,1,754_210 ,236_236 
869,1,738_212 ,234_234 
870,1,721_207 ,232_232 
871,1,703_208 ,217_217 
872,2,301_542 642_185 ,94_94 272_272 
873,2,304_544 634_195 ,90_90 247_247 
874,1,617_200 ,223_223 
875,2,301_542 554_175 ,94_94 276_276 
876,2,304_544 545_187 ,90_90 245_245 
877,1,527_196 ,223_223 
878,2,468_176 301_542 ,269_269 94_94 
879,2,458_192 302_541 ,237_237 96_96 
880,1,440_198 ,211_211 
881,1,374_176 ,276_276 
882,1,363_190 ,251_251 
883,1,344_197 ,243_243 
884,1,324_199 ,242_242 
885,1,275_183 ,287_287 
886,1,271_197 ,264_264 
887,1,259_202 ,257_257 
888,1,247_203 ,264_264 
889,1,235_201 ,267_267 
890,1,232_204 ,264_264 
891,1,229_199 ,271_271 
892,1,221_194 ,283_283 
893,1,225_190 ,286_286 
894,1,230_192 ,274_274 
895,1,227_185 ,286_286 
896,1,241_185 ,274_274 
897,1,249_182 ,273_273 
898,1,250_174 ,277_277 
899,1,259_169 ,274_274 
900,1,258_160 ,277_277 
901,1,256_153 ,281_281 
902,1,259_150 ,283_283 
903,1,260_144 ,284_284 
904,1,254_138 ,288_288 
905,1,255_134 ,287_287 
906,1,257_126 ,290_290 
907,1,252_121 ,297_297 
908,1,259_120 ,299_299 
909,1,256_99 ,338_338 
910,1,256_95 ,339_339 
911,1,272_93 ,330_330 
912,1,299_86 ,349_349 
913,1,309_92 ,337_337 
914,1,330_94 ,323_323 
